subject,body,intent
Meeting Request,Can we schedule a call to discuss next steps?,MEETING_REQUEST
Got it,Thanks for the update.,ACKNOWLEDGEMENT
Don't Miss Out!,Limited time offer: subscription now available.,PROMOTION
Application Update,Good news! Frank referred you for the Marketing Lead role.,REFERRAL
Verify Now!,Verify your bank details immediately!,SPAM
Quick Chat?,Are you free to chat around noon?,MEETING_REQUEST
Thanks,Acknowledged.,ACKNOWLEDGEMENT
Don't Miss Out!,Weekly Digest: Top news and special offers.,PROMOTION
URGENT!,Claim your free iPhone now!,SPAM
Document Needed,Where can I find the latest spreadsheet?,FILE_REQUEST
Regarding File,Requesting access to the proposal.,FILE_REQUEST
Thanks,"Okay, will do.",ACKNOWLEDGEMENT
Application Update,ACTION REQUIRED: New referral submission.,REFERRAL
Availability,Are you free to chat later today?,MEETING_REQUEST
Don't Miss Out!,Weekly Digest: Top news and special offers.,PROMOTION
New Referral,You have a new job referral for the Software Engineer position.,REFERRAL
Regarding File,Reminder to send the document.,FILE_REQUEST
File Request,Can you send me the spreadsheet?,FILE_REQUEST
Application Update,Referral received from Frank.,REFERRAL
Got it,Acknowledged.,ACKNOWLEDGEMENT
Verify Now!,Verify your bank details immediately!,SPAM
File Request,"Following up on our chat, could you share the proposal?",FILE_REQUEST
Weekly Deals,Your weekly newsletter and promotions.,PROMOTION
Meeting Request,Do you have time for a brief meeting?,MEETING_REQUEST
Re: Update,Thanks for sending that over.,ACKNOWLEDGEMENT
Exclusive Offer,Claim your free gift card now!,SPAM
URGENT!,Claim your free gift card now!,SPAM
Referral Submission,You have a new job referral for the Data Analyst position.,REFERRAL
Got it,"Received, thank you.",ACKNOWLEDGEMENT
Application Update,Good news! Henry referred you for the Software Engineer role.,REFERRAL
Meeting Request,Can we schedule a call to discuss the budget?,MEETING_REQUEST
Quick Chat?,Are you free to chat at 3 PM?,MEETING_REQUEST
Weekly Deals,Weekly Digest: Top news and special offers.,PROMOTION
URGENT!,Verify your bank details immediately!,SPAM
Regarding File,Need the presentation for the meeting.,FILE_REQUEST
Regarding File,"Hi, is the document ready?",FILE_REQUEST
Quick Chat?,Available for a quick call later today?,MEETING_REQUEST
New Referral,You have a new job referral for the Data Analyst position.,REFERRAL
Got it,Thanks for sending that over.,ACKNOWLEDGEMENT
New Referral,Good news! David referred you for the Marketing Lead role.,REFERRAL
Regarding File,Where can I find the latest spreadsheet?,FILE_REQUEST
Document Needed,Requesting access to the minutes.,FILE_REQUEST
Re: Update,Sounds good.,ACKNOWLEDGEMENT
New Referral,ACTION REQUIRED: New referral submission.,REFERRAL
